bubbly#4\127#активный#活泼开朗的
candid#4\128#откровенный, искренний, чистосердечный#坦诚的
conceited#4\129#самоуверенный; тщеславный#自负的
determined#4\130#решительный, твёрдый#坚定的
gullible#4\131#доверчивый, легковерный#轻信的
impetuous#4\132#горячий; пылкий#冲动的
indecisive#4\133#нерешительный, неуверенный#优柔寡断的
lenient#4\134#снисходительный; мягкий#宽容的
light-hearted#4\135#беззаботный; весёлый#无忧无虑的
malicious#4\136#злобный, злой#恶意的
obstinate#4\137#упрямый, своевольный#顽固的
reckless#4\138#необдуманный, безрассудный#鲁莽的
self-assured#4\139#уверенный в себе#自信的
smart#4\140#умный, разумный#聪明的
